type,value,context,confidence,source
note,"China-nexus ORB (Operational Relay Box) espionage-infrastructure case: UAT-7810 / LapDogs. UAT-7810 compromises unpatched SOHO/embedded networking devices (primarily Ruckus wireless routers) and turns them into relay nodes used by SECONDARY China-nexus APTs (e.g. UAT-5918) to proxy their own operations. Talos assesses UAT-7810 China-nexus with HIGH confidence; JARLEASH config carries Simplified-Chinese comments. The IPv4 / URL indicators below are attacker-acquired VPS download/relay servers observed by Talos (2026-07) and DECAY - ORB infra is rotated; validate freshness before blocking rather than trusting a static list. The file hashes are the confirmed malware set (LONGLEASH, DOGLEASH x many arch/variant builds, JARLEASH, LEASHTEST). Full hash list and Snort SIDs in the Talos report.",,high,Cisco Talos UAT-7810 (2026-07-07)
cve,CVE-2020-22653,"Ruckus wireless router n-day exploited by UAT-7810 for initial access to SOHO edge devices",high,Cisco Talos UAT-7810 (2026-07-07)
cve,CVE-2020-22658,"Ruckus wireless router n-day exploited by UAT-7810 for initial access",high,Cisco Talos UAT-7810 (2026-07-07)
cve,CVE-2023-25717,"Ruckus wireless router RCE n-day exploited by UAT-7810 (historically weaponized by AndoryuBot); primary ORB recruitment vector",high,Cisco Talos UAT-7810 (2026-07-07)
cve,CVE-2025-2492,"ASUS AiCloud router flaw; exploited from UAT-7810-associated IP 217.15.164.147 in early 2026 - likely ORB expansion attempt to AiCloud routers",medium,Cisco Talos UAT-7810 (2026-07-07)
ipv4,194.233.92.26,"UAT-7810 VPS - hosts DOGLEASH multi-arch payloads (ports 8088,2222) and TLS server on port 99 (CN=exploit); ORB infra, decays",high,Cisco Talos UAT-7810 (2026-07-07)
ipv4,217.15.160.247,"UAT-7810 VPS download server (ports 8088,2222,99); ORB infra, decays",high,Cisco Talos UAT-7810 (2026-07-07)
ipv4,217.15.164.147,"UAT-7810 VPS (ports 99,8088,2222); also used to exploit ASUS AiCloud CVE-2025-2492 in early 2026; ORB infra, decays",high,Cisco Talos UAT-7810 (2026-07-07)
ipv4,95.182.100.231,"UAT-7810 payload-hosting IP in Hong Kong (port 2222); discovered via forensics of compromised networking devices; ORB infra, decays",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://217.15.160.247:8088/,"DOGLEASH/payload staging endpoint on UAT-7810 VPS",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://217.15.160.247:2222/,"UAT-7810 payload staging endpoint",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://217.15.160.247:99/,"UAT-7810 TLS/relay endpoint (port 99)",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://194.233.92.26:8088/,"UAT-7810 payload staging endpoint",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://194.233.92.26:2222/,"UAT-7810 payload staging endpoint",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://217.15.164.147:99/,"UAT-7810 TLS/relay endpoint (port 99)",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://217.15.164.147:8088/,"UAT-7810 payload staging endpoint",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://217.15.164.147:2222/,"UAT-7810 payload staging endpoint",high,Cisco Talos UAT-7810 (2026-07-07)
url,http://95.182.100.231:2222/,"UAT-7810 payload staging endpoint (Hong Kong)",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,c2ab9adaba93ff094b8f3fc37d906014d870582039d276b7bd03e6fd583d8a15,"TLS certificate fingerprint of UAT-7810 server on port 99 (subject CN=exploit); durable infra fingerprint",high,Cisco Talos UAT-7810 (2026-07-07)
string,"C=exploit, ST=exploit, L=exploit, O=exploit, OU=exploit, CN=exploit","Self-signed TLS certificate subject_dn on UAT-7810 port-99 relay server; high-signal, hunt on cert_subject",high,Cisco Talos UAT-7810 (2026-07-07)
string,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.95 Safari/537.36","User-Agent string embedded in LONGLEASH (ff-agent) to blend C2 traffic with legitimate Chrome 122; anomalous from a Linux router",medium,Cisco Talos UAT-7810 (2026-07-07)
string,"ff-agent","Internal project name shared by SHORTLEASH and LONGLEASH codebase",high,Cisco Talos UAT-7810 (2026-07-07)
string,"nz1.0","Internal project version tag of the LONGLEASH implant",high,Cisco Talos UAT-7810 (2026-07-07)
string,"iot-test","Internal name of LEASHTEST MIPS functionality-test binary; benign alone but indicates UAT-7810 activity",medium,Cisco Talos UAT-7810 (2026-07-07)
sha256,755fcee1337a252203002ecfdf673a08cfadeda8d738bef2d518a08e0626aa4f,"LONGLEASH backdoor (ff-agent nz1.0) - new SHORTLEASH successor, MIPS Boost.Asio build",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,1b5649b479fd625de5c8120873644b5eb669cc89cd504582c18e0ae350fd8823,"LEASHTEST (iot-test) MIPS functionality-test ELF",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,e799d72929d7ccc7f6b6109742b8cc482838303207efc989543b6e1ca6d16e9c,"Startup script for JARLEASH",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,3b89d183eb014e29d9d0d4e45fc2b784a7fcfcf31dd48fd3bde30f8d956383d1,"Configuration file for JARLEASH (Simplified-Chinese comments)",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,324d95024fc8da5c92b5a1f4825aed5a2a91c9ca8fb6aa52abb332a4c9cf4257,"JARLEASH Java (JAR) admin backdoor",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,bafba443170e54ef7fd431ce7f1b5e202719f3fd022e4ef70788904f574d2cdf,"JARLEASH Java (JAR) admin backdoor variant",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,604b53f87d6c070bf387e80c70a6df8d272fa3fc143148d41f13e59d52ab1f13,"DOGLEASH C-based passive backdoor (ELF)",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,c92541f273eeb576d39235d0a5c6f18f2574b132a1022598edfa38065783ab98,"DOGLEASH backdoor variant",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,29c7fccc6ef8cbfe4da9a169c7c74bacaea1fb515a1fddef91ab1b1522f76e4c,"DOGLEASH backdoor variant",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,425bf771c8c9f740b1ae9803dcb4fd45af4d6a6f171fcc72fc7d511095ca82ce,"DOGLEASH backdoor variant",high,Cisco Talos UAT-7810 (2026-07-07)
sha256,ac8eae94d27122f4751bc96d9ea52d30000b7ca37569a2291b2710824ca3396f,"DOGLEASH backdoor variant",high,Cisco Talos UAT-7810 (2026-07-07)
