type,value,context,confidence,source
note,"Joyfill npm supply-chain compromise (StepSecurity, 2026-07-28). Malicious '2773' beta versions of @joyfill/components and @joyfill/layouts carry an obfuscated payload injected only into the built dist bundles (no source change, no package.json install hook). The payload runs ON IMPORT, so npm install --ignore-scripts does NOT stop it. Five-stage in-memory chain: obfuscated loader -> blockchain dead-drop C2 resolver (Tron -> BNB Smart Chain -> Aptos fallback) -> two staged downloaders -> Socket.IO RAT with npm-CLI worm self-propagation + a Python credential stealer. Unattributed; the shared implant across both packages indicates one actor. No CVE (a package compromise, not a software vulnerability).",high,StepSecurity (2026-07-28)
cve,none,"No CVE. This is a maintainer/package compromise (malicious published tarballs), not a software vulnerability; absence from CISA KEV is expected and is not evidence of low risk.",high,StepSecurity (2026-07-28)
string,@joyfill/components@4.0.0-rc24-2773-beta.4,"Compromised npm version - obfuscated payload appended to dist/index.js, dist/index.esm.js, dist/joyfill.min.js",high,StepSecurity (2026-07-28)
string,@joyfill/components@4.0.0-rc24-2773-beta.5,"Compromised npm version of @joyfill/components",high,StepSecurity (2026-07-28)
string,@joyfill/components@4.0.0-rc24-2773-beta.6,"Compromised npm version of @joyfill/components",high,StepSecurity (2026-07-28)
string,@joyfill/layouts@0.1.2-2773.beta.0,"Compromised npm version - obfuscated payload prepended to dist/index.cjs.js and dist/index.es.js; malicious tarball ~45KB vs ~322KB clean sibling, only exports PDFRenderer",high,StepSecurity (2026-07-28)
string,@joyfill/layouts@0.1.2-2773.beta.1,"Compromised npm version of @joyfill/layouts",high,StepSecurity (2026-07-28)
string,@joyfill/layouts@0.1.2-2773.beta.2,"Compromised npm version of @joyfill/layouts",high,StepSecurity (2026-07-28)
ipv4,166.88.134.62,"Primary C2 (Socket.IO) for the npm campaign A9-0135-3; SOCKET_URL http://166.88.134.62:443 and UPLOAD_URL http://166.88.134.62:80. Plain HTTP on port 443 is the first unmistakable indicator. Validate freshness before blocking (indicators decay).",high,StepSecurity (2026-07-28)
ipv4,23.27.13.43,"C2 host serving /$/boot second-stage downloader",medium,StepSecurity (2026-07-28)
ipv4,198.105.127.210,"C2 endpoint for numeric campaigns (branch B second downloader, Sec-V header)",medium,StepSecurity (2026-07-28)
ipv4,23.27.202.27,"C2 endpoint for non-A/non-numeric campaign tags (SOCKET_URL :443, UPLOAD_URL :27017)",medium,StepSecurity (2026-07-28)
url,http://166.88.134.62:443/u/f,"Multipart upload endpoint for stolen files/directories (form-data POST)",high,StepSecurity (2026-07-28)
string,/$/boot,"C2 request path - second-stage boot payload (XOR key ThZG+0jfXE6VAGOJ, then eval)",high,StepSecurity (2026-07-28)
string,/u/e,"C2 request path used by the implant",medium,StepSecurity (2026-07-28)
string,/u/f,"C2 request path - file/directory upload (exfiltration)",high,StepSecurity (2026-07-28)
string,/0x/js,"C2 request path used by the implant",medium,StepSecurity (2026-07-28)
string,/verify-human/,"C2 request path used by the implant",medium,StepSecurity (2026-07-28)
string,/snv,"C2 request path used by the implant",medium,StepSecurity (2026-07-28)
domain,api.trongrid.io,"Legitimate Tron API abused as stage-1 dead-drop resolver (latest outbound tx memo, reversed, points to a BSC tx). Legitimate service - do NOT blanket-block; hunt for a node process contacting it during npm install/test.",medium,StepSecurity (2026-07-28)
domain,fullnode.mainnet.aptoslabs.com,"Legitimate Aptos fullnode abused as dead-drop fallback pointer channel",medium,StepSecurity (2026-07-28)
domain,bsc-dataseed.binance.org,"Legitimate BNB Smart Chain RPC abused to fetch the XOR-encrypted next stage from a tx input field via eth_getTransactionByHash",medium,StepSecurity (2026-07-28)
domain,bsc-rpc.publicnode.com,"Legitimate BSC RPC used as fallback for the stage fetch",medium,StepSecurity (2026-07-28)
domain,ip-api.com,"Geolocation lookup used by the RAT ss_ip verb",low,StepSecurity (2026-07-28)
string,TMfKQEd7TJJa5xNZJZ2Lep838vrzrs7mAP,"Tron address - branch A dead-drop pointer to BSC tx 0x18a8420f...83e99d",high,StepSecurity (2026-07-28)
string,TXfxHUet9pJVU1BgVkBAbrES4YUc1nGzcG,"Tron address - branch B dead-drop pointer (no outbound tx -> Aptos fallback fires) to BSC tx 0x622bcfd4...a10e2e",high,StepSecurity (2026-07-28)
string,TA48dct6rFW8BXsiLAtjFaVFoSuryMjD3v,"Tron pointer re-armed in stage 2 (global _t_1) for stage-3 resolution",medium,StepSecurity (2026-07-28)
sha256,26351aed0397158d3a3b8cc8fd3047d4c015d264c9895f10f20f1521b974ed18,"Final Socket.IO remote access trojan (stage 3, ~77KB, LZString decompressFromUTF16 string table)",high,StepSecurity (2026-07-28)
sha256,36ff00b45e67baa7e3674b0c80f48e88737264c61e5c6b3b091200972de8157c,"Python credential stealer (browser data, extension wallets, password managers, SSH/git/GitHub CLI creds, OS keychains)",high,StepSecurity (2026-07-28)
string,9-0135-3,"Campaign marker planted by the loader (global[!] = 9-0135-3; becomes _V = A9-0135-3 for the npm vector)",high,StepSecurity (2026-07-28)
string,Sec-V: A9-0135-3,"Custom HTTP request header carrying the campaign tag to the C2 (/$/boot uses Sec-V for numeric campaigns)",high,StepSecurity (2026-07-28)
string,global['r']=require,"Loader assigns Node require/module to short global names (r, m) so later stages pull child_process/http without those names appearing in cleartext",high,StepSecurity (2026-07-28)
regkey,C250617A,"Injection sentinel comment tag wrapping the loader stub written into developer-tool files (idempotency guard)",medium,StepSecurity (2026-07-28)
string,RS260605,"Injection sentinel/log tag used by the worm re-injection into npm CLI and Electron app bundles",medium,StepSecurity (2026-07-28)
path,%USERPROFILE%\.npm\,"Windows staging directory for the encrypted credential archive before exfiltration",medium,StepSecurity (2026-07-28)
path,/tmp/.npm/,"Linux/macOS staging directory for the encrypted credential archive before exfiltration",medium,StepSecurity (2026-07-28)
path,npm/lib/cli.js,"Global npm CLI file patched by the worm (resolved via npm root -g) so every subsequent npm invocation re-executes the loader",high,StepSecurity (2026-07-28)
path,@vscode/deviceid/dist/index.js,"VS Code / Cursor / Antigravity module patched for persistence (resources/app/node_modules/@vscode/deviceid/dist/index.js)",medium,StepSecurity (2026-07-28)
string,ThZG+0jfXE6VAGOJ,"Repeating-key XOR key applied to the /$/boot second-stage body before eval",medium,StepSecurity (2026-07-28)
