type,value,context,confidence,source
sha256,d9487fdc097f770e5661f9e5dee130068cb179d33716abff1a21c8cb901f25a6,RAMMap.msi initial dropper from GitHub facade impersonating Sysinternals,high,DFIR Report TB40048
sha256,8c2665adf8bfab65463f2a9bd1b7bb0231de3f5c1e6a2e51479e44aaac2e7bf0,MVnVmUYj.cmd EtherRAT stage 1 dropper that pulls node.exe and cfg payload,high,DFIR Report TB40048
sha256,4142d5efd4ea2abab77f2f0a917610e2ff976bf9e19d7ad1e9156eccdc5412db,A7Pnj975bl.cfg EtherRAT initial JavaScript payload encrypted AES-256-CBC layered,high,DFIR Report TB40048
sha256,2d4b4bb18b8445e49eeda571982874403befcecf78266e3d405f6529d98bee46,v72HYLU3OpRBznc.ini EtherRAT runtime state blob,high,DFIR Report TB40048
sha256,19021e53b9929fdf4b7d0e0707434d56bb73c1a9b7403c8837b44d1c417198dc,log4net.dll TukTuk side-loaded under Greenshot SyncTrayzor docfx Cake,high,DFIR Report TB40048
sha256,1795eacd2c58894ccdd6be8854fe6456c3b069a3a873432343b57b475b256aee,smokymo.msi GoTo Resolve installer used for lateral persistence,high,DFIR Report TB40048
md5,73ce2438d4ed475e03727b7b000d2794,RAMMap.msi MD5 alternate hash for legacy controls,high,DFIR Report TB40048
md5,b2d51212744f404714fd909e87254d98,MVnVmUYj.cmd MD5 alternate hash,high,DFIR Report TB40048
md5,c92cf9a1af5b1fe25cdcb8771ce52be4,A7Pnj975bl.cfg MD5 alternate hash,high,DFIR Report TB40048
md5,77fbe265fd65c7f7b6d323fb6de6a4fd,v72HYLU3OpRBznc.ini MD5 alternate hash,high,DFIR Report TB40048
md5,f985b8d6d635c266fc4779dad77aa75c,log4net.dll MD5 alternate hash,high,DFIR Report TB40048
md5,b188fbc6ff5557767e73e4c883a553a3,smokymo.msi MD5 alternate hash,high,DFIR Report TB40048
sha1,3d5ee8429ef00824c0351cba507dfeb92b54f83b,RAMMap.msi SHA1 alternate hash,high,DFIR Report TB40048
sha1,c98ee41f09ae079a5643626f57eb84f92205bb2b,MVnVmUYj.cmd SHA1 alternate hash,high,DFIR Report TB40048
sha1,b44c8084b88d31113ee51758740eb84c251bdae8,A7Pnj975bl.cfg SHA1 alternate hash,high,DFIR Report TB40048
sha1,114ec028a3fc4ed50056ee8166b0c39acff6ff03,v72HYLU3OpRBznc.ini SHA1 alternate hash,high,DFIR Report TB40048
sha1,ba80d7b038758a129861e1e498e462cc3d68ae20,log4net.dll SHA1 alternate hash,high,DFIR Report TB40048
