type,value,context,confidence,source
note,,UAT-8302 China-nexus APT — government targets in South America (late 2024 onward) and southeastern Europe (2025); arsenal shared with Jewelbug/REF7707/CL-STA-0049 (NetDraft), Kaspersky-tracked CloudSorcerer v3, UNC5174 and UAT-6382 (SNOWLIGHT+VSHELL XOR 0x99), Earth Estries (SNAPPYBEE/DeedRAT + ZingDoor + Draculoader),high,https://blog.talosintelligence.com/uat-8302/
sha256,1139b39d3cc151ddd3d574617cf113608127850197e9695fef0b6d78df82d6ca,NetDraft / FringePorch implant,high,https://blog.talosintelligence.com/uat-8302/
sha256,ee56c49f42522637f401d15ac2a2b6f3423bfb2d5d37d071f0172ce9dc688d4b,NetDraft variant,high,https://blog.talosintelligence.com/uat-8302/
sha256,51f0cf80a56f322892eed3b9f5ecae45f1431323600edbaea5cd1f28b437f6f2,NetDraft variant,high,https://blog.talosintelligence.com/uat-8302/
sha256,35b2a5260b21ddb145486771ec2b1e4dc1f5b7f2275309e139e4abc1da0c614b,VSHELL payload,high,https://blog.talosintelligence.com/uat-8302/
sha256,199bd156c81b2ef4fb259467a20eacaa9d861eeb2002f1570727c2f9ff1d5dab,VSHELL payload,high,https://blog.talosintelligence.com/uat-8302/
sha256,071e662fc5bc0e54bcfd49493467062570d0307dc46f0fb51a68239d281427c6,ZingDoor DLL,high,https://blog.talosintelligence.com/uat-8302/
sha256,843f8aea7842126e906cadbad8d81fa456c184fb5372c6946978a4fe115edb1c,Draculoader generic shellcode loader,high,https://blog.talosintelligence.com/uat-8302/
sha256,e74098b17d5d95e0014cf9c7f41f2a4e4be8baefc2b0eb42d39ae05a95b08ea5,gogo OSS scanner used by UAT-8302,medium,https://blog.talosintelligence.com/uat-8302/
sha256,2b627f6afe1364a7d0d832ccba87ef33a8a39f30a70a5f395e2a3cb0e2161cb3,gogo OSS scanner used by UAT-8302,medium,https://blog.talosintelligence.com/uat-8302/
sha256,7c593ca40725765a0747cc3100b43a29b88ad1708ef77e915ab02686c0153001,Stowaway proxy (OSS) used by UAT-8302,medium,https://blog.talosintelligence.com/uat-8302/
sha256,f859a67ceebc52f0770a222b85a5002195089ee442eac4bea761c29be994e2ea,Stowaway proxy (OSS) used by UAT-8302,medium,https://blog.talosintelligence.com/uat-8302/
sha256,7d9c70fc36143eb33583c30430dcb40cf9d306067594cc30ffd113063acd6292,anyproxy OSS used by UAT-8302,medium,https://blog.talosintelligence.com/uat-8302/
sha256,1bb59491f7289b94ab0130d7065d74d2459a802a7550ebf8cd0828f0a09c4d38,QScan OSS,medium,https://blog.talosintelligence.com/uat-8302/
sha256,343105919aa6df8a75ecb8b06b74f23a7d3e221fca56c67b728c50ea141314bc,dddd OSS,medium,https://blog.talosintelligence.com/uat-8302/
sha256,4109f15056414f25140c7027092953264944664480dd53f086acb8e07d9fccab,httpx OSS,medium,https://blog.talosintelligence.com/uat-8302/
sha256,45cd169bf9cd7298d972425ad0d4e98512f29de4560a155101ab7427e4f4123f,naabu OSS,medium,https://blog.talosintelligence.com/uat-8302/
sha256,fb6cebadd49d202c8c7b5cdd641bd16aac8258429e8face365a94bd32e253b00,PortQry,medium,https://blog.talosintelligence.com/uat-8302/
sha256,3dec6703b2cbc6157eb67e80061d27f9190c8301c9dd60eb0be1e8b096482d7e,SoftEther VPN client used by UAT-8302,medium,https://blog.talosintelligence.com/uat-8302/
sha256,9f115e9b32111e4dc29343a2671ab10a2b38448657b24107766dc14ce528fceb,SharpGetUserLoginIPRP login extractor,high,https://blog.talosintelligence.com/uat-8302/
sha256,b19bfca2fc3fdabf0d0551c2e66be895e49f92aedac56654b1b0f51ec66e7404,SharpGetUserLoginIPRP variant,high,https://blog.talosintelligence.com/uat-8302/
domain,drivelivelime.com,NetDraft or VSHELL C2 domain,high,https://blog.talosintelligence.com/uat-8302/
domain,msiidentity.com,UAT-8302 C2 domain,high,https://blog.talosintelligence.com/uat-8302/
domain,trafficmanagerupdate.com,UAT-8302 C2 domain serving /index.php,high,https://blog.talosintelligence.com/uat-8302/
domain,update-kaspersky.workers.dev,Cloudflare Workers fronted C2,high,https://blog.talosintelligence.com/uat-8302/
domain,image.update-kaspersky.workers.dev,Cloudflare Workers fronted C2 subdomain,high,https://blog.talosintelligence.com/uat-8302/
ipv4,85.209.156.3,Stowaway proxy node (ports 56456 46389 8080 8082),high,https://blog.talosintelligence.com/uat-8302/
ipv4,45.135.135.100,Stowaway proxy port 443,high,https://blog.talosintelligence.com/uat-8302/
ipv4,45.140.168.62,UAT-8302 C2 or proxy,high,https://blog.talosintelligence.com/uat-8302/
ipv4,88.151.195.133,UAT-8302 C2 or proxy,high,https://blog.talosintelligence.com/uat-8302/
ipv4,156.238.224.82,UAT-8302 C2 or proxy,high,https://blog.talosintelligence.com/uat-8302/
ipv4,185.238.189.41,UAT-8302 C2 port 8080,high,https://blog.talosintelligence.com/uat-8302/
ipv4,103.27.108.55,UAT-8302 C2 port 48265,high,https://blog.talosintelligence.com/uat-8302/
ipv4,38.54.32.244,SoftEther Rar.exe staging host,high,https://blog.talosintelligence.com/uat-8302/
path,C:\ProgramData\Microsoft\Microsoft\Appunion.exe,NetDraft persistence drop path with double-Microsoft camouflage,high,https://blog.talosintelligence.com/uat-8302/
path,C:\Windows\Temp\whatpc.ps1,Reconnaissance helper script,high,https://blog.talosintelligence.com/uat-8302/
path,C:\Windows\Temp\result.dat,ADExplorer snapshot output prior to 7z compression,high,https://blog.talosintelligence.com/uat-8302/
string,ReconLiteDebug,Scheduled task name literal,high,https://blog.talosintelligence.com/uat-8302/
string,RunWhatPC,Scheduled task name literal,high,https://blog.talosintelligence.com/uat-8302/
string,Microsoft\Windows\Maps\{a086ff1e-d6dc-45f7-b3e4-6udknw82sa},Fake-legitimate scheduled task path,high,https://blog.talosintelligence.com/uat-8302/
note,,SNOWLIGHT and SNOWRUST stagers use single-byte XOR key 0x99 to decode VSHELL final payload; UAT-6382 also observed using the same key in early 2025,high,https://blog.talosintelligence.com/uat-8302/
note,,NetDraft uses Microsoft Graph API plus OneDrive as C2 channel; revoke OAuth refresh tokens for any account observed on a compromised host,high,https://blog.talosintelligence.com/uat-8302/
