type,value,context,confidence,source
note,GentleKiller BYOVD EDR-killer suite — Gentlemen RaaS — Day 60 2026-06-26,Case anchor note,high,ESET Research 2026-06-18
sha1,8AE6BD18B129061F63642531F1B684CF0383C75D,GentleKiller Kaspersky variant (Kasps.exe) — Win64/KillAV.EA,high,ESET Research 2026-06-18
sha1,BA914FE77B177B45799403B16DD14765C510A074,eb.sys custom rootkit used by Kaspersky variant — Win64/Agent.ITG,high,ESET Research 2026-06-18
sha1,D605994FC72A2BB59B5CFB1624A1B9170ECA73A2,GentleKiller FACEIT Anti-Cheat variant (FaceIT1.exe) Enigma-protected — Win64/KillAV.EA,high,ESET Research 2026-06-18
sha1,B0B912A3FD1C05D72080848EC4C92880004021A1,nseckrnl.sys NSecsoft NSecKrnl driver abused by FACEIT variant — Win64/VulnDriver.NSecsoft.A,high,ESET Research 2026-06-18
sha1,5AA3124E5C4921E5EDFC60133B5D71DA21B07DA3,GentleKiller Valorant variant (Valorant2.exe) Themida-protected — Win64/KillAV.EA,high,ESET Research 2026-06-18
sha1,7556AE58C215B8245A43F764F0676C7A8F0FDD1A,vgk.sys Tower of Fantasy AntiCheat driver abused by Valorant variant — Win64/VulnDriver.PerfectWorld.A,high,ESET Research 2026-06-18
sha1,331879F5EEC8892BBD896F90BDBB1BAD0BF63BD6,GentleKiller Javelin variant EASolo2Light.exe (Safetica newer driver),high,ESET Research 2026-06-18
sha1,711EF221526997039E804A18DB9647C91680BBE2,stpm_old.sys Safetica Process Monitor Driver older — Win64/VulnDriver.Safetica.A,high,ESET Research 2026-06-18
sha1,68FEC379F2AE76C3D2CE913F7BE650CEA1D06990,stpm_new.sys Safetica Process Monitor Driver newer — Win64/VulnDriver.Safetica.H,high,ESET Research 2026-06-18
sha1,A11EE9CDC59E5CAA59AEFD27B30D104F3AD68E62,GentleKiller WatchDog variant BitD1.exe Themida-protected — Win64/KillAV.EA,high,ESET Research 2026-06-18
sha1,96F0DBF52AED0AFD43E44500116B04B674F7358E,dmx.sys Zemana WatchDog Antimalware Driver — Win64/VulnDriver.WatchDogDev.C,high,ESET Research 2026-06-18
sha1,2F86898528C6CAB3540C486A9BFAA0C029B73950,GentleKiller Network Blocker variant MB2.exe Themida-protected — Win64/KillAV.EA,high,ESET Research 2026-06-18
sha1,9AD51AD97C01E97AB59214116740785E0F6320A8,360netmon_wfp.sys Qihoo 360 driver — Win64/VulnDriver.Qihoo360.A,high,ESET Research 2026-06-18
sha1,A19117175DBC9BA4D23B5DCE8415E299A2E32192,GentleKiller Cleaner variant Deletor.exe — Win64/KillAV.EA,high,ESET Research 2026-06-18
sha1,12500F6C87CE62712A0ED6652C57468D15C14223,IMFForceDelete IObit filter driver — Win64/VulnDriver.IObit.D.gen,high,ESET Research 2026-06-18
sha1,D29670E684E40DDC89B47010C37CBC96737035B6,GentleKiller G11 variant Symantec.exe — Win64/KillAV.EA,high,ESET Research 2026-06-18
sha1,56BEE9DF5833A637F5C54D5911DF98B0812FE643,G11.sys PoisonX rootkit used by G11 variant — Win64/Agent.IYQ,high,ESET Research 2026-06-18
sha1,CF4D74DF17A91B4A36A2911B22AFEC5D8FA93A01,HexKiller (Avast.exe) integrated into Gentlemen suite — Win32/KillAV.NVL,high,ESET Research 2026-06-18
sha1,EC296F9501AD71E430810CB5CDC38D954D4BA536,googleApiUtil64.sys Baidu BdApi driver abused by HexKiller — Win64/VulnDriver.Baidu.B,high,ESET Research 2026-06-18
