type,value,context,confidence,source
cve,CVE-2026-26030,Semantic Kernel Python <1.39.4 — InMemoryVectorStore filter eval RCE,high,https://nvd.nist.gov/vuln/detail/CVE-2026-26030
cve,CVE-2026-25592,Semantic Kernel .NET <1.71.0 — SessionsPythonPlugin DownloadFileAsync arbitrary file write enabling sandbox escape to host,high,https://nvd.nist.gov/vuln/detail/CVE-2026-25592
string,().__class__.__bases__[0].__subclasses__(),Python AST traversal anchor used in CVE-2026-26030 exploit payloads to reach the type system from a sandboxed lambda,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
string,BuiltinImporter,Class name used as the importer pivot to load os from inside a filter eval with empty __builtins__,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
string,load_module('os'),Module load primitive that bypasses the absence of import and an empty __builtins__ in the validator,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
string,os.system(,Exec sink commonly chained after AST traversal to launch a host shell,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
string,DownloadFileAsync,Mis-exposed [KernelFunction] in SessionsPythonPlugin .NET SDK enabling sandbox-to-host file write,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
string,UploadFileAsync,Symmetric primitive enabling arbitrary host-to-sandbox file read (id_rsa SSH keys cloud creds),high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
string,SessionsPythonPlugin,Semantic Kernel .NET plugin that brokers Azure Container Apps dynamic sessions; primary attack surface for CVE-2026-25592,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
path,\Start Menu\Programs\Startup\,Canonical persistence sink written by an attacker after sandbox escape,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
url,https://github.com/amiteliahu/AIAgentCTF/tree/main/CVE-2026-26030,Microsoft-published CTF harness reproducing CVE-2026-26030 end-to-end,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
url,https://github.com/microsoft/semantic-kernel/pull/13478/changes,Patch diff for the .NET SDK CVE-2026-25592 (removal of [KernelFunction] attribute plus path validation),high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
note,Patched versions: semantic-kernel >= 1.39.4 on PyPI and Microsoft.SemanticKernel >= 1.71.0 on NuGet,Use these as authoritative cut-offs when computing each deployment exposure window,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
note,Vulnerable preconditions for CVE-2026-26030: Python SDK below 1.39.4 plus InMemoryVectorStore search plugin with default filter functionality,Both conditions must hold simultaneously; either one absent removes the primitive,high,https://www.microsoft.com/en-us/security/blog/2026/05/07/prompts-become-shells-rce-vulnerabilities-ai-agent-frameworks/
