type,value,context,confidence,source
cve,CVE-2026-50003,OFFIS DCMTK path traversal (improper limitation of a pathname); DICOM receiver writes files outside the intended output directory; CVSS v3.1 9.8 / v4 9.3; affects <=3.7.0,high,CISA ICSMA-26-181-01
cve,CVE-2026-52868,OFFIS DCMTK path traversal (improper limitation of a pathname); CVSS v3.1 8.2 / v4 8.8; affects <=3.7.0,high,CISA ICSMA-26-181-01
cve,CVE-2026-50254,OFFIS DCMTK missing release of memory after effective lifetime; memory exhaustion / service crash DoS; CVSS v3.1 7.5 / v4 8.7; affects <=3.7.0,high,CISA ICSMA-26-181-01
cve,CVE-2026-35505,OFFIS DCMTK missing release of memory after effective lifetime; memory exhaustion / service crash DoS; CVSS v3.1 7.5 / v4 8.7; affects <=3.7.0,high,CISA ICSMA-26-181-01
cve,CVE-2026-44628,OFFIS DCMTK access of resource using incompatible type (type confusion); crash of DCMTK client/server parsing a crafted DICOM object; CVSS v3.1 7.5 / v4 8.7; affects <=3.7.0,high,CISA ICSMA-26-181-01
cve,CVE-2026-3650,Grassroots DICOM (GDCM) memory-exhaustion DoS; ~150-byte crafted file allocates up to 4.2 GB; affects GDCM 3.2.2; no fix at disclosure,medium,CISA ICSMA / SentinelOne CVE DB
string,DICM,DICOM Part 10 file magic at byte offset 128 (after the 128-byte preamble); primary file-format anchor for crafted DICOM objects,high,DICOM PS3.10 standard
string,1.2.840.10008.3.1.1.1,DICOM Application Context Name present in every A-ASSOCIATE-RQ; network-association anchor,high,DICOM PS3.7 standard
string,tcp/104,DICOM well-known upper-layer (DIMSE) port; storage/query-retrieve SCP listener,high,IANA / DICOM PS3.8
string,tcp/11112,DICOM IANA-registered port; common storescp/dcmrecv/dcmqrscp listener,high,IANA / DICOM PS3.8
string,tcp/2762,DICOM-TLS (dicom-iscl/dicom-tls) port,medium,IANA
path,storescp,DCMTK Storage SCP receiver binary that constructs output filenames from received attributes (CVE-2026-50003 write path),high,DCMTK documentation
path,dcmrecv,DCMTK simple Storage SCP receiver binary,high,DCMTK documentation
path,dcmqrscp,DCMTK query/retrieve SCP (image database) binary; storage-receiving path,high,DCMTK documentation
path,movescu,DCMTK C-MOVE client; parses received datasets (type-confusion / memory-leak crash surface),medium,DCMTK documentation
note,A DICOM storage receiver (storescp/dcmrecv/dcmqrscp) that writes a file with a script/executable extension or a path containing .. is arbitrary file write (CVE-2026-50003) and a likely path to code execution,Post-exploit file-write detection anchor,high,Jarmi analysis
note,A DICOM receiver process (storescp/dcmqrscp/dcmrecv) spawning cmd/powershell/bash is code execution on the imaging host,Post-exploit RCE detection anchor after arbitrary file write,high,Jarmi analysis
note,Repeated crash-restart of a DICOM receiver or WerFault for a DCMTK binary indicates the memory-exhaustion / type-confusion DoS (CVE-2026-50254 / CVE-2026-35505 / CVE-2026-44628 / GDCM CVE-2026-3650),Availability-impact detection anchor for PACS/imaging services,high,Jarmi analysis
note,DCMTK <=3.7.0 vulnerable to all five ICSMA-26-181-01 CVEs; fix is upstream in master (release >=3.7.1 required); many products embed DCMTK without an SBOM,Version triage and supply-chain visibility gap,high,CISA ICSMA-26-181-01 / HIPAA Journal
note,Ask imaging vendors whether DCMTK is present what version and when a patched build ships; DICOM listeners should never be reachable from outside the imaging VLAN,Exposure and SBOM triage guidance,high,Abhinav Agarwal via HIPAA Journal
note,Companion DICOM disclosures same wave: ICSMA-26-176-01 (pydicom/pynetdicom) and ICSMA-26-176-02 (OHIF Viewers DICOM clinician-token theft via crafted link <=v3.12.0),Ecosystem-wide DICOM toolkit exposure context,medium,CISA ICSMA-26-176-01 / ICSMA-26-176-02
note,No confirmed in-the-wild exploitation IOCs (IPs/hashes/domains) existed at publication; this is an advisory-stage case so indicators are detection-surface and hunting anchors not confirmed-malicious artifacts,Scope note,high,Jarmi analysis
