type,value,context,confidence,source
domain,cst001.epc.mnc053.mcc234.3gppnetwork.org,STA1 Diameter Origin-Host identity tied to Tango Networks UK (MNC053/MCC234); reused as entry node for Insert-Subscriber-Data-Request (IDR) location queries from 2023-03 through 2024-11; DNS-resolvable and IR.21-valid (not spoofed) suggesting long-term commercial access rather than a compromise.,high,Citizen Lab Report No. 192 (Bad Connection)
domain,ideabpl1h.epc.mnc019.mcc425.3gppnetwork.org,"STA1 Diameter Origin-Host identity tied to 019Mobile Israel; used as Proxy 1 entry point for IDR bursts on 2024-11-25; parent Origin-Realm (epc.mnc019.mcc425.3gppnetwork.org) returns NXDOMAIN across IPX DNS servers, a deliberate resolution suppression.",high,Citizen Lab Report No. 192 (Bad Connection)
domain,ideabpl1h.dea.epc.mnc003.mcc520.3gppnetwork.org,STA1 Diameter Edge Agent (DEA) hostname belonging to AIS Thailand IR.21 filings; paired with a spoofed China Unicom Origin-Realm to steer traffic through the Syniverse IPX. Cross-operator Origin-Host/Origin-Realm pairing violates 3GPP/GSMA standards.,high,Citizen Lab Report No. 192 (Bad Connection)
domain,dra1.je211.epc.mnc003.mcc234.3gppnetwork.org,STA2 fixed Diameter Route-Record entry host via Airtel Jersey (Channel Islands); reused across every observed STA2 attack as the single interconnect path into the IPX backbone.,high,Citizen Lab Report No. 192 (Bad Connection)
domain,epc.mnc019.mcc425.3gppnetwork.org,"019Mobile Origin-Realm domain; consistently returns NXDOMAIN on authoritative IPX DNS despite the underlying IP space (185.24.204.0/29 and .8/29, ASN 51825) being live and BGP-reachable via Partner Communications (AS12400). DNS-suppression-as-evasion CTI anchor.",high,Citizen Lab Report No. 192 (Bad Connection)
string,GT 855183901014 (SEATEL Cambodia),"STA1 Global Title used to open the 2024-11-25 campaign with two blocked sendRoutingInfoForSM (SRI-SM) attempts, then reused minutes later for provideSubscriberInfo (PSI) and anyTimeInterrogation (ATI) location queries.",high,Citizen Lab Report No. 192 (Bad Connection)
string,GT 25882200300 (Tmcel Mozambique),"STA1 Global Title reused across the PSI burst and the anyTimeInterrogation (ATI) escalation phase (11:17 GMT) on 2024-11-25; routing showed a mismatch against the IR.21-expected interconnect provider (Deutsche Telekom expected, BICS observed).",high,Citizen Lab Report No. 192 (Bad Connection)
string,GT 46764753182 / 467647531812 (Telenabler AB Sweden),"Global Title reused by STA1 (2024-11-25 PSI burst) and independently by STA2 (2025-02-11 SS7 reconnaissance PSI plus mt-ForwardSM SIMjacker delivery). A shared-identity overlap that is genealogy-relevant, not proof of a single actor.",medium,Citizen Lab Report No. 192 (Bad Connection)
string,ASN 51825 (Telzar 019 International Telecommunications Services / 019Mobile),"Network owner of the 019Mobile signalling IP space; BGP AS-path 12400 -> 51825 confirms live reachability through Partner Communications despite the paired DNS domain being suppressed. Use for BGP/route-table hunting, not a blocklist entry.",high,Citizen Lab Report No. 192 (Bad Connection)
string,SS7 opcode sendRoutingInfoForSM (SRI-SM),"Reconnaissance primitive used to resolve a target MSISDN to an IMSI prior to location queries; first phase of the STA1 chronology, blocked by the target signalling firewall on 2024-11-25.",high,Citizen Lab Report No. 192 (Bad Connection)
string,SS7 opcode provideSubscriberInfo (PSI),"Core SS7 location-disclosure primitive returning Cell ID, LAC and subscriber state; used by both STA1 (7-operator burst in 3 minutes) and STA2 (single probe before the SIMjacker SMS).",high,Citizen Lab Report No. 192 (Bad Connection)
string,SS7 opcode anyTimeInterrogation (ATI),"Escalation-tier SS7 location command sent by STA1 after 25 failed Diameter IDR attempts (12 messages from the same GT cluster, 11:17-11:20 GMT 2024-11-25). ATI is a stronger and rarer query than PSI, a high-value detection anchor precisely because legitimate use is uncommon.",high,Citizen Lab Report No. 192 (Bad Connection)
string,Diameter Insert-Subscriber-Data-Request (IDR) with cross-realm Origin-Host/Origin-Realm mismatch,STA1 evasion signature: Origin-Host formatted for one operator (e.g. AIS Thailand DEA) paired with an Origin-Realm belonging to a different operator (China Unicom) to bypass firewall allow-lists keyed on realm.,high,Citizen Lab Report No. 192 (Bad Connection)
note,SIMjacker binary SMS marker TP-PID=127 (0x7F) + TP-DCS=22 (0x16),STA2 zero-click delivery signature: TP-PID 127 routes the SMS to the SIM card (not the handset UI) and TP-DCS 22 flags the payload as binary S@T-browser STK bytecode; device never displays or stores the message. Originally disclosed by Enea in 2019 (SIMjacker); observed reused by STA2 on 2025-02-11 via GT 467647531812 (Telenabler AB Sweden).,high,Citizen Lab Report No. 192 (Bad Connection); Enea SIMjacker disclosure (2019)
string,SS7 GT 250730091970 (Airtel Rwanda) spoofed TP-Originating-Address,STA2 SIMjacker delivery SMS spoofed its TP-OA as an Airtel Rwanda subscriber number. SMS sender-field spoofing used to make the SIM Toolkit push look like ordinary inter-operator traffic.,medium,Citizen Lab Report No. 192 (Bad Connection)
note,Iran (MOIS/IRGC-nexus) SS7 location-tracking campaign against US military personnel in Iraq and Bahrain,"Financial Times / Mobile Surveillance Monitor (Gary Miller) reporting that Iran exploited SS7 (the same protocol class documented in STA1/STA2, not the same confirmed infrastructure) to geolocate US military personnel at bases and hotels in Iraq and Bahrain during the build-up to and early days of the Iran War (approx. Feb-Mar 2026), enabling kinetic strikes that wounded over 150 US troops. This is a SEPARATE investigation from Citizen Lab STA1/STA2, do not treat as the same confirmed actor or infrastructure; see Attribution and confidence.",medium,Financial Times (paywalled) via TechCrunch 2026-07-14; Reuters 2026-03-10
