type,value,context,confidence,source
note,"SpearSpecter campaign (APT42 / IRGC-IO). Primary technical report: Israel National Digital Agency (INDA), govextra.gov.il, published Nov 2025 and re-amplified by a July 2026 reporting wave (TechTimes, GBHackers, CyberSecurityNews, securityonline, 2026-07-20/22). TAMECAT is a fileless, modular PowerShell backdoor - prioritise behaviour (search-ms/WebDAV delivery, in-memory loader, Cloudflare Workers / Telegram / Discord / Firebase C2, browser and Outlook theft) over any single indicator. No CVE is associated with this case.",,high,Jarmi analysis 2026-07-27
domain,darijo-bosanac-dl[.]workers[.]dev,"Base Cloudflare Workers C2 domain; per-keyword module hosts hang off random subdomains",high,INDA SpearSpecter (2025-11 / 2026-07)
domain,eaggcz2fj7yzqdzx97i96[.]darijo-bosanac-dl[.]workers[.]dev,"TAMECAT module host mapped to Telegram command keyword 'Invest'",high,INDA SpearSpecter (2025-11 / 2026-07)
domain,f3nq6re4nmjwbr8ks5g2qu[.]darijo-bosanac-dl[.]workers[.]dev,"TAMECAT module host mapped to Telegram command keyword 'Scene'",high,INDA SpearSpecter (2025-11 / 2026-07)
domain,kxp5sxfwiu7b6quo346hhyc[.]darijo-bosanac-dl[.]workers[.]dev,"TAMECAT module host mapped to Telegram command keyword 'Look'",high,INDA SpearSpecter (2025-11 / 2026-07)
domain,2tv995jjg6cx679bspy[.]darijo-bosanac-dl[.]workers[.]dev,"TAMECAT module host mapped to Telegram command keyword 'Cnvrt'",high,INDA SpearSpecter (2025-11 / 2026-07)
domain,mvwmh7pxxd33375gj9wwjhcmbk[.]darijo-bosanac-dl[.]workers[.]dev,"TAMECAT module host mapped to Telegram command keyword 'Trsdls'",high,INDA SpearSpecter (2025-11 / 2026-07)
domain,27ehoddkc8t7jer4aic55uh3[.]darijo-bosanac-dl[.]workers[.]dev,"TAMECAT module host mapped to Telegram command keyword 'Anchor'",high,INDA SpearSpecter (2025-11 / 2026-07)
domain,w5fb5r3txrsvga7zot9uz54k[.]darijo-bosanac-dl[.]workers[.]dev,"TAMECAT module host mapped to Telegram command keyword 'Trnspt'",high,INDA SpearSpecter (2025-11 / 2026-07)
domain,line[.]completely[.]workers[.]dev,"TAMECAT primary loader - serves temp.bat and subsequent in-memory modules (paths /aoh5 and /aoh52)",high,INDA SpearSpecter (2025-11 / 2026-07)
