type,value,context,confidence,source
note,"All IOCs below are extracted verbatim from FBI FLASH-20260521-001 (TLP:CLEAR) released 21 May 2026 alongside the Operation Saffron takedown. Domains and four key IPs are confirmed by Europol, Eurojust, the Dutch Police (politie.nl) and Bitdefender Draco Team. ASN concentration is mainly OVH (AS16276) and M247 (AS9009).",high,FBI_FLASH-20260521-001
domain,1vpns.com,First VPN Service primary website (seized 20-May-2026 by joint LE),high,FBI_FLASH-20260521-001
domain,1vpns.net,First VPN Service secondary domain (seized),high,FBI_FLASH-20260521-001
domain,1vpns.org,First VPN Service tertiary domain (seized),high,FBI_FLASH-20260521-001
domain,1jabber.com,Self-hosted Jabber server for customer support (seized),high,FBI_FLASH-20260521-001
email,support@1vpns.com,Customer-support email and Jabber account,high,FBI_FLASH-20260521-001
string,1vpns@1jabber.com,Administrator Jabber account,high,FBI_FLASH-20260521-001
string,@FVPNS,Telegram channel handle for customer support,high,FBI_FLASH-20260521-001
url,https://t.me/FirstVPNService,Telegram channel URL,high,FBI_FLASH-20260521-001
string,82822222,ICQ contact ID,high,FBI_FLASH-20260521-001
note,"Current exit-node IPs (as of May 2026 per FBI FLASH). Three explicitly flagged as US-based; remainder distributed across 27 countries.",high,FBI_FLASH-20260521-001
ipv4,92.223.66.103,Current exit node (US),high,FBI_FLASH-20260521-001
ipv4,5.181.234.59,Current exit node (US),high,FBI_FLASH-20260521-001
ipv4,92.38.148.58,Current exit node (US),high,FBI_FLASH-20260521-001
ipv4,92.38.180.39,Current exit node,high,FBI_FLASH-20260521-001
ipv4,195.206.107.203,Current exit node,high,FBI_FLASH-20260521-001
ipv4,178.175.139.203,Current exit node,high,FBI_FLASH-20260521-001
ipv4,37.120.143.203,Current exit node,high,FBI_FLASH-20260521-001
ipv4,91.232.29.114,Current exit node,high,FBI_FLASH-20260521-001
ipv4,86.105.25.219,Current exit node,high,FBI_FLASH-20260521-001
ipv4,134.255.210.160,Current exit node,high,FBI_FLASH-20260521-001
ipv4,190.97.163.88,Current exit node,high,FBI_FLASH-20260521-001
ipv4,193.106.31.98,Current exit node,high,FBI_FLASH-20260521-001
ipv4,82.146.50.52,Current exit node,high,FBI_FLASH-20260521-001
ipv4,185.247.71.107,Current exit node,high,FBI_FLASH-20260521-001
ipv4,51.79.208.134,Current exit node,high,FBI_FLASH-20260521-001
ipv4,92.38.162.4,Current exit node,high,FBI_FLASH-20260521-001
ipv4,77.246.157.26,Current exit node,high,FBI_FLASH-20260521-001
ipv4,54.37.200.68,Current exit node,high,FBI_FLASH-20260521-001
ipv4,185.253.98.243,Current exit node,high,FBI_FLASH-20260521-001
ipv4,51.79.111.220,Current exit node,high,FBI_FLASH-20260521-001
ipv4,188.92.78.242,Current exit node,high,FBI_FLASH-20260521-001
ipv4,51.75.34.158,Current exit node,high,FBI_FLASH-20260521-001
ipv4,46.105.79.45,Current exit node,high,FBI_FLASH-20260521-001
ipv4,92.38.186.86,Current exit node,high,FBI_FLASH-20260521-001
ipv4,82.202.160.36,Current exit node,high,FBI_FLASH-20260521-001
ipv4,193.239.86.19,Current exit node,high,FBI_FLASH-20260521-001
ipv4,139.99.255.144,Current exit node,high,FBI_FLASH-20260521-001
ipv4,91.193.5.91,Current exit node,high,FBI_FLASH-20260521-001
ipv4,91.132.139.67,Current exit node,high,FBI_FLASH-20260521-001
ipv4,95.213.164.12,Current exit node,high,FBI_FLASH-20260521-001
ipv4,89.38.224.3,Current exit node,high,FBI_FLASH-20260521-001
ipv4,77.83.247.81,Current exit node,high,FBI_FLASH-20260521-001
ipv4,152.89.162.139,Current exit node,high,FBI_FLASH-20260521-001
note,"Historical exit-node IPs prior to May 2026 — used by First VPN customers at some point in the 2014-2026 lifetime of the service. May have rotated to legitimate hosting customers; do not mass-block at perimeter without ASN-current ownership verification.",medium,FBI_FLASH-20260521-001
ipv4,31.135.14.182,Historical exit node (pre-May 2026),medium,FBI_FLASH-20260521-001
ipv4,31.210.70.184,Historical exit node,medium,FBI_FLASH-20260521-001
