type,value,context,confidence,source
sha256,eb07edaa2786cfddfa4c15526168f2200d85300aee0a8f253b32d2462a7b0bcd,Montana Empire phishing kit ZIP archive (7958528 bytes; full brand clone of a national postal e-commerce marketplace; PHP backend + Telegram C2),high,Unit 42 Phantom Squatting (2026-06-30)
sha256,2202a30daad9928ef47cca5f4ab04ce083692a94428e386fa01c2dd44557e34b,Malicious Android APK (12649472 bytes) served from a fraudulent national postal delivery landing page (phantom domain AEW 51 days),high,Unit 42 Phantom Squatting (2026-06-30)
path,mentalite.php,Montana Empire kit server-side PHP endpoint (credential-capture backend),high,Unit 42 Phantom Squatting (2026-06-30)
path,panel_track.php,Montana Empire kit operator control-panel PHP endpoint (victim adjudication / OTP relay),high,Unit 42 Phantom Squatting (2026-06-30)
path,verify_api.php,Montana Empire kit verification/API PHP endpoint,high,Unit 42 Phantom Squatting (2026-06-30)
path,letgovip.zip,Montana Empire kit archive filename observed on attacker web root,high,Unit 42 Phantom Squatting (2026-06-30)
string,ENTER THE EMPIRE,Montana Empire phishing-kit login button text,high,Unit 42 Phantom Squatting (2026-06-30)
string,Enter Access Key,Montana Empire phishing-kit login prompt text,high,Unit 42 Phantom Squatting (2026-06-30)
string,Kimseye Guvenme,Montana Empire kit banner (Turkish; Trust No One; ASCII-normalized from Kimseye Guvenme),medium,Unit 42 Phantom Squatting (2026-06-30)
string,User Protocol,Montana Empire phishing-kit login page link text,medium,Unit 42 Phantom Squatting (2026-06-30)
note,partially-redacted-domains,"Vendor published domains in partially redacted form: [redacted]post-app[.]com, [redacted]-login[.]com, [redacted]benefitsportal[.]com, [redacted]-es[.]org, [redacted]business[.]com, [redacted]empresas[.]com. Full unredacted indicators available from Unit 42 on request; not usable as live IOCs here",low,Unit 42 Phantom Squatting (2026-06-30)
note,no-live-c2-ip,"No attacker C2 domain or IP address is disclosed in the source report. Telegram is the exfil/C2 channel (api.telegram.org) but no bot token or handle is published",high,Unit 42 Phantom Squatting (2026-06-30)
note,phantom-domain-scale,"Unit 42 asked two LLMs 685339 questions across 913 brands, producing 2.1M URLs; 13229 (0.61 pct) already flagged malicious, ~250000 hallucinated domains still unregistered and available to squat",high,Unit 42 Phantom Squatting (2026-06-30)
note,adversarial-exploitation-window,"AEW (predict-to-registration lead time) observed 18-51 days: Montana Empire 23 days (hallucinated 2026-03-08, registered 2026-03-31); postal APK 51 days (hallucinated 2026-02-18, registered 2026-04-10)",high,Unit 42 Phantom Squatting (2026-06-30)
note,attribution,"No named threat actor. Financially motivated e-crime; Montana Empire and the Bangladesh betting-site clusters appear to be distinct operators. Attribution confidence low",medium,Unit 42 Phantom Squatting (2026-06-30)
cve,none,No CVE - phantom squatting abuses LLM hallucination and open domain registration, not a software vulnerability; no kev.md generated for this case,high,Unit 42 Phantom Squatting (2026-06-30)
