type,value,context,confidence,source
note,"TeamPCP 48-hour mega-campaign 2026-05-18 to 2026-05-20 — actions-cool tag-poisoning + durabletask PyPI worm + Nx Console VS Code Marketplace extension + GitHub corporate breach (3800 internal repos). Shared exfil sink t.m-kosche.com ties all vectors to the same operator (UNC6780/TeamPCP).",high,StepSecurity + Wiz + Snyk + Aikido + GitHub corporate 2026-05-18/19/20
domain,check.git-service.com,Primary payload + C2 channel for rope.pyz on durabletask hosts,high,Wiz 2026-05-19
domain,t.m-kosche.com,Fallback C2 and primary exfil sink for actions-cool runner secrets and @antv installs,high,StepSecurity 2026-05-18 + Wiz 2026-05-19
ipv4,83.142.209.194,Legacy C2 IP reused from Day-18 transformers.pyz lineage,high,Wiz 2026-05-19
url,https://check.git-service.com/rope.pyz,Primary rope.pyz payload URL,high,Wiz 2026-05-19
url,https://t.m-kosche.com/rope.pyz,Backup rope.pyz payload URL,high,Wiz 2026-05-19
url,https://t.m-kosche.com/api/public/version,Exfil endpoint for stolen secrets,high,Wiz 2026-05-19
url,https://check.git-service.com/v1/models,Killswitch / command endpoint (OpenAI API path mimicry),high,Wiz 2026-05-19
url,https://check.git-service.com/audio.mp3,Destructive trigger for Israel/Iran-locale hosts,high,Wiz 2026-05-19
sha256,069ac1dc7f7649b76bc72a11ac700f373804bfd81dab7e561157b703999f44ce,rope.pyz Python zipapp payload,high,Wiz 2026-05-19
sha256,7d80b3ef74ad7992b93c31966962612e4e2ceb93e7727cdbd1d2a9af47d44ba8,durabletask-1.4.1-py3-none-any.whl malicious wheel,high,Wiz 2026-05-19
sha256,aeaf583e20347bf850e2fabdcd6f4982996ba023f8c2cd56bbd299cfd56516f5,durabletask-1.4.2-py3-none-any.whl malicious wheel,high,Wiz 2026-05-19
sha256,877ff2531a63393c4cb9c3c86908b62d9c4fc3db971bc231c48537faae6cb3ec,durabletask-1.4.3-py3-none-any.whl malicious wheel,high,Wiz 2026-05-19
path,/tmp/managed.pyz,Primary rope.pyz drop path on Linux dev hosts and runners,high,Wiz 2026-05-19
path,/tmp/rope-*.pyz,Secondary rope.pyz drop path with random suffix,high,Wiz 2026-05-19
path,/tmp/rope.pyz,Alternate rope.pyz drop name observed in some samples,high,Wiz 2026-05-19
path,~/.cache/.sys-update-check,Infection marker confirming rope.pyz execution on the host,high,Wiz 2026-05-19
path,~/.cache/.sys-update-check-k8s,Infection marker confirming Kubernetes lateral branch ran,high,Wiz 2026-05-19
path,/tmp/.rope_state/ssm_instances.json,AWS SSM lateral state file enumerating targeted EC2 instances,high,Wiz 2026-05-19
path,/home/runner/.bun/bin/bun,bun runtime download path on GitHub Actions runner used by actions-cool imposter,high,StepSecurity 2026-05-18
string,nrwl.angular-console v18.95.0,VS Code Marketplace extension candidate for the GitHub corporate breach,medium,Aikido Security 2026-05-20
note,"All actions-cool/issues-helper tags repointed 2026-05-18T19:10:24Z to 19:13:40Z (53 tags inside 3 min 16 sec window) — every full SHA below is a dangling imposter commit not reachable from the default branch.",high,StepSecurity 2026-05-18
sha1,1c9e803c80cc7fed000022d4c94f4b5bc2e90062,actions-cool/issues-helper imposter commit for tag v3.8.0,high,StepSecurity 2026-05-18
sha1,f0448c62fc57b8a5ce23d8acd6e795cdd76a3b6c,actions-cool/issues-helper imposter commit for tag v3.7.6,high,StepSecurity 2026-05-18
sha1,abc4310e6b8520aff6af79a4880217917cd1436b,actions-cool/issues-helper imposter commit for tag v3.7.5,high,StepSecurity 2026-05-18
sha1,aea87833045e38098e64310e962b897ae8aaba33,actions-cool/issues-helper imposter commit for tag v3.7.4,high,StepSecurity 2026-05-18
sha1,aeb05195dbd618afce6f22ca4937e46940d86be1,actions-cool/issues-helper imposter commit for tag v3.7.3,high,StepSecurity 2026-05-18
sha1,4b10341e231301a86c66f6c09e3e4de76d8719fe,actions-cool/issues-helper imposter commit for tag v3.7.2,high,StepSecurity 2026-05-18
sha1,8a3a7c2960ff3a4e3fd1481cfd1eb31301e16337,actions-cool/issues-helper imposter commit for tag v3.7.1,high,StepSecurity 2026-05-18
sha1,aa44b5492c787fbc4c51edb8d98d88b668fe89d1,actions-cool/issues-helper imposter commit for tag v3.7.0,high,StepSecurity 2026-05-18
sha1,03bbf452b52fb318196d9c193fd178a79a6d7f9b,actions-cool/issues-helper imposter commit for tag v3.6.3,high,StepSecurity 2026-05-18
sha1,257849272e291fb74ff4bee4d3be4796dd35fbbb,actions-cool/issues-helper imposter commit for tag v3.6.2,high,StepSecurity 2026-05-18
sha1,4bb72d31eaee87562b70a0cf1b93579bb2b14c23,actions-cool/issues-helper imposter commit for tag v3.6.1,high,StepSecurity 2026-05-18
sha1,e0585c10366288eeec3117d65ed24240ccbf1f47,actions-cool/issues-helper imposter commit for tag v3.6.0,high,StepSecurity 2026-05-18
sha1,419b34c603623ea8749a98b7153df20e389dd0ec,actions-cool/issues-helper imposter commit for tag v3.5.2,high,StepSecurity 2026-05-18
sha1,8cc2629c5681d794c494b79283d23aa3ce78749c,actions-cool/issues-helper imposter commit for tag v3.5.1,high,StepSecurity 2026-05-18
sha1,4b69521f9829a1114b94d74fdc1a38f2291d8c34,actions-cool/issues-helper imposter commit for tag v3.5.0,high,StepSecurity 2026-05-18
sha1,dc5687b71897e8b57bc9743e325ac72cee763c9c,actions-cool/issues-helper imposter commit for tag v3.4.0,high,StepSecurity 2026-05-18
sha1,3846bd4230da36f68a4cc1527298ca9ab2652fb9,actions-cool/issues-helper imposter commit for tag v3.3.3,high,StepSecurity 2026-05-18
sha1,459b0cfc4dd708b6218b72a7a01dda6c6a7ab0c0,actions-cool/issues-helper imposter commit for tag v3.3.2,high,StepSecurity 2026-05-18
sha1,fa6a4ca487f2dc699d428126ea2b18e9d0d15c9d,actions-cool/issues-helper imposter commit for tag v3.3.1,high,StepSecurity 2026-05-18
sha1,15c89f718cd325833aad8000d3ec72e2660f6584,actions-cool/issues-helper imposter commit for tag v3.3.0,high,StepSecurity 2026-05-18
sha1,a7d3c46a35564fa85321f3557700f6ea0c0616a9,actions-cool/issues-helper imposter commit for tag v3.2.1,high,StepSecurity 2026-05-18
sha1,85c9d842e1c0f41f8805f17600c25237e08a0224,actions-cool/issues-helper imposter commit for tag v3.2.0,high,StepSecurity 2026-05-18
sha1,64ed6d61b6eee8744417e1d1cc651665a8bce236,actions-cool/issues-helper imposter commit for tag v3.1.0,high,StepSecurity 2026-05-18
sha1,d9b1764cbe78ec9b12f01a66b2d2c902b15981b6,actions-cool/issues-helper imposter commit for tag v3.0.1,high,StepSecurity 2026-05-18
sha1,b9c83f01929e190cda300e76f688bf7ea7e37a7a,actions-cool/issues-helper imposter commit for tag v3.0.0,high,StepSecurity 2026-05-18
sha1,147337a919d92f4bf42f02843682d694650f1e22,actions-cool/issues-helper imposter commit for tag v3,high,StepSecurity 2026-05-18
sha1,e9631d2e615d95a19111c272049444fb073a99be,actions-cool/issues-helper imposter commit for tag v2.5.0,high,StepSecurity 2026-05-18
sha1,91b26b99c50ad890f98c2184d251bd3a16f5b1b1,actions-cool/issues-helper imposter commit for tag v2.4.3,high,StepSecurity 2026-05-18
sha1,3f4d6804812734dfe945bbe8ef619f151e4b27f6,actions-cool/issues-helper imposter commit for tag v2.4.2,high,StepSecurity 2026-05-18
sha1,46eff1378ad0faee27c017ebd97f605548777098,actions-cool/issues-helper imposter commit for tag v2.4.1,high,StepSecurity 2026-05-18
sha1,071e169dfb36005b3262b3853c9894698b8b303b,actions-cool/issues-helper imposter commit for tag v2.4.0,high,StepSecurity 2026-05-18
sha1,55253d49c68133ae52e791a3f1f8242b191f5e91,actions-cool/issues-helper imposter commit for tag v2.3.1,high,StepSecurity 2026-05-18
sha1,edf8cf78d6feeb5a73cda9317af5ddfc4da6c5fd,actions-cool/issues-helper imposter commit for tag v2.3.0,high,StepSecurity 2026-05-18
