type,value,context,confidence,source
note,"Advisory / methodology-class case (IFC AOR monthly report 2026-07-07; SeaSpoofFinder arXiv 2602.16257). AIS/GNSS spoofing is an RF and data-layer attack on maritime positioning, not a host intrusion, so the indicators below are DETECTION-SURFACE ANCHORS (kinematic thresholds, identity tells, geographic footprints, tooling names), NOT confirmed-malicious file hashes. Attribution from AIS alone is not definitive. No CVE is associated with this case.",,high,Jarmi analysis 2026-07-11
string,!AIVDM,"NMEA 0183 AIS sentence marker; on an internal IP feed (NMEA-over-TCP 10110, gpsd 2947) it can indicate a rogue AIS injector / feed tamper",medium,SeaSpoofFinder / NMEA 0183
string,000000,"Placeholder MMSI suffix; SeaSpoofFinder discards MMSIs ending 000000 as non-authentic - a simulator / spoof identity tell",medium,arXiv 2602.16257
string,999999,"Placeholder MMSI suffix; MMSIs ending 999999 treated as non-unique / placeholder",medium,arXiv 2602.16257
string,NATO SHIP,"Generic non-unique AIS vessel label associated with spoofed / placeholder records",medium,arXiv 2602.16257
string,FRENCH WARSHIP,"Generic non-unique AIS vessel label associated with spoofed / placeholder records",medium,arXiv 2602.16257
string,ais-simulator,"AIS transmit/simulator tool that can inject fabricated AIS tracks; control channel over WebSocket",medium,SeaSpoofFinder context
string,gps-sdr-sim,"GNSS signal-generation tool that can fabricate a counterfeit GPS constellation with an SDR (bladeRF/HackRF/USRP)",medium,GNSS spoofing tooling
note,"GNSS spoofing footprint (FPSE) hot-zones observed by SeaSpoofFinder: Baltic Sea (Kaliningrad, St. Petersburg), Murmansk, Moscow, the Black Sea, and the eastern Mediterranean / Haifa area. Baltic/Black Sea/Murmansk footprints assessed Russia-nexus; AIS-only, not definitive attribution.",Geographic footprint,medium,arXiv 2602.16257
note,"AIS identity-spoofing / dark-fleet choke points (IFC and open reporting): Strait of Hormuz, Gulf of Oman, Black Sea, South China Sea, eastern Mediterranean. IFC AOR June 2026: 40 CYBSEC incidents, all vessels transmitting false AIS (names, flags, vessel types).",Geographic footprint,high,IFC AOR 2026-07-07
note,"Stage-1 PSE kinematic thresholds (tune to station revisit): position jump > ~5 km between consecutive fixes AND implied speed > ~120 kn. Data-quality filters discard zero coordinates, seconds field > 59, placeholder MMSIs, and near-pure N/S or E/W (bit-error) jumps.",Detection threshold,high,arXiv 2602.16257
note,"Stage-2 FPSE clustering: at least two distinct MMSIs jumping from a common ~10 km source area to a near-identical ~10 m destination cell in a short window. Circular-trajectory-around-a-fixed-point is a classic GNSS-spoofing artifact.",Detection logic,high,arXiv 2602.16257
string,MidFlagMismatch,"Enrichment tell: MMSI Maritime Identification Digits (MID) country disagrees with the reported flag - identity-spoofing / reflagging indicator (corroborate with registry)",medium,Jarmi analysis
note,"AIS has no authentication or replay protection by design (plaintext VHF, self-reported), so every AIS report is trusted only as far as it is cross-checked against registry, kinematics and independent sensors (radar, LRIT, satellite imagery).",Protocol weakness,high,IFC / AIS 0183
url,https://seaspooffinder.github.io/ais_data,"Reference tool (benign): SeaSpoofFinder public AIS spoofing-event viewer; not an IOC to block",high,arXiv 2602.16257
