type,value,context,confidence,source
md5,1ab58838e5790efb22f2d35ab98c0b7d,Umbrij ver. a (.NET/MSIL DLL sideloaded via a signed legit binary; ConfuserEx-obfuscated OAuth-token-theft tool),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,a7d7d6c4c3f227f7117261c63b9e23a9,Umbrij ver. a (.NET/MSIL DLL; STRD OAuth stealer),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,3d3a621f852c42d97fd7260681e42508,Umbrij ver. a (.NET/MSIL DLL; STRD OAuth stealer),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,3432dd9ac0df80ef86eb80bd080f839b,Umbrij ver. a (.NET/MSIL DLL; STRD OAuth stealer),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,22aaeb4946ba6d2f2e27feb7dbb295de,Umbrij ver. b (adds -domainAd and -savepdf profile-to-PDF dump),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,f61fbfb7aa1cd5dc8f70b055b51563e2,Umbrij ver. b (adds -domainAd and -savepdf profile-to-PDF dump),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,f169d6d172dfb775895a5e2b1540c854,Umbrij ver. c (adds -lport alias for the remote debug port),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,9f5f2f0fb0a7f5aa9f16b9a7b6dad89f,Legitimate signed loader GoogleDesktop.exe abused to DLL-sideload GoogleServices.DLL (Umbrij),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,28cb7b261f4eb97e8a4b3b0d32f8def1,Legitimate signed loader BDSubWiz.exe (Bitdefender) abused to DLL-sideload log.dll (Umbrij),high,Securelist ToddyCat Umbrij (2026-06-30)
md5,bae82a15d1dbfb024617b9b56a8e5f66,Legitimate signed loader VSTestVideoRecorder.exe abused to sideload Microsoft.VisualStudio.QualityTools.VideoRecorderEngine.dll (Umbrij),high,Securelist ToddyCat Umbrij (2026-06-30)
path,C:\Users\Public\BDSubWiz.exe,Sideload loader staged in Public; loads log.dll from same dir,medium,Securelist ToddyCat Umbrij (2026-06-30)
path,C:\Users\Public\log.dll,Umbrij DLL sideloaded by BDSubWiz.exe/BDS.exe,high,Securelist ToddyCat Umbrij (2026-06-30)
path,C:\Windows\Vss\bds.exe,Sideload loader staged in windows\vss; loads log.dll,medium,Securelist ToddyCat Umbrij (2026-06-30)
path,C:\Windows\Vss\log.dll,Umbrij DLL sideloaded from windows\vss,high,Securelist ToddyCat Umbrij (2026-06-30)
path,C:\Windows\Temp\GoogleDesktop.exe,Sideload loader in windows\temp; loads GoogleServices.DLL,medium,Securelist ToddyCat Umbrij (2026-06-30)
path,C:\Windows\Temp\GoogleServices.DLL,Umbrij DLL sideloaded by GoogleDesktop.exe,high,Securelist ToddyCat Umbrij (2026-06-30)
path,C:\Windows\Temp\VSTestVideoRecorder.exe,Sideload loader in windows\temp; loads VS QualityTools VideoRecorderEngine.dll,medium,Securelist ToddyCat Umbrij (2026-06-30)
path,%LOCALAPPDATA%\Google\Chrome\BackupFiles,Umbrij-created copy of the live Chrome profile (cookies/Login Data/Local Storage) used for headless session riding,high,Securelist ToddyCat Umbrij (2026-06-30)
path,%LOCALAPPDATA%\Microsoft\Edge\BackupFiles,Umbrij-created copy of the live Edge profile used for headless session riding,high,Securelist ToddyCat Umbrij (2026-06-30)
string,KasperskyEndpointSecurityEDRAvp,Malicious scheduled-task name masquerading as Kaspersky EDR (Kaspersky does not create such a task); launches the signed sideload loader,high,Securelist ToddyCat Umbrij (2026-06-30)
string,--remote-debugging-port,Chromium remote debugging flag used by Umbrij to drive a headless browser over the DevTools protocol; anomalous on user hosts,high,Securelist ToddyCat Umbrij (2026-06-30)
string,--headless,Chromium headless flag paired with --remote-debugging-port in the Umbrij browser launch,high,Securelist ToddyCat Umbrij (2026-06-30)
string,GeneralOAuthFlow,flowName value present in the Umbrij OAuth request but absent from the legitimate GWMMO/GWSMO OAuth flow (no PKCE/state/login_hint),medium,Securelist ToddyCat Umbrij (2026-06-30)
string,279448736670.apps.googleusercontent.com,OAuth client_id abused by Umbrij (belongs to Google Workspace Migration for Microsoft Outlook - GWMMO),high,Securelist ToddyCat Umbrij (2026-06-30)
string,1095133494869,OAuth client_id used with Umbrij -sync (belongs to Google Workspace Sync for Microsoft Outlook - GWSMO),high,Securelist ToddyCat Umbrij (2026-06-30)
url,http://localhost,redirect_uri used by Umbrij OAuth request (legit GWMMO/GWSMO use http://localhost:61619/callback),medium,Securelist ToddyCat Umbrij (2026-06-30)
string,BackupFiles,Directory name Umbrij creates under the browser User Data dir to hold the copied profile,medium,Securelist ToddyCat Umbrij (2026-06-30)
note,No C2 domain or IP is published: exfiltration is manual - the operator retrieves the local log file holding the OAuth authorization code and exchanges it for an access token off-host to reach Gmail via the Google API.,,high,Securelist ToddyCat Umbrij (2026-06-30)
note,Detection verdicts: HEUR:Trojan-PSW.MSIL.Umbrij.gen / HEUR:Trojan.MSIL.Agent.gen / HEUR:Trojan-PSW.MSIL.Agent.gen (Kaspersky).,,high,Securelist ToddyCat Umbrij (2026-06-30)
note,Activity window is 2025 (Kaspersky Sigma rules dated 2025-08-11 and 2025-12-11); what is fresh is the consolidated Part 2 publication on 2026-06-30.,,high,Securelist ToddyCat Umbrij (2026-06-30)
