type,value,context,confidence,source
cve,CVE-2026-20182,Cisco Catalyst SD-WAN Controller vHub authentication bypass; CVSS 10.0; CWE-287,high,Cisco PSIRT advisory cisco-sa-sdwan-rpa2-v69WY2SW
cve,CVE-2026-20127,Earlier vdaemon authentication bypass (Feb 2026); same DTLS service; exploited by UAT-8616 since 2023,high,Cisco PSIRT + Talos
cve,CVE-2026-20133,vManage chain CVE patched Feb 2026; mass-exploited from March 2026,high,Cisco PSIRT advisory cisco-sa-sdwan-authbp-qwCX8D4v
cve,CVE-2026-20128,vManage chain CVE patched Feb 2026,high,Cisco PSIRT advisory cisco-sa-sdwan-authbp-qwCX8D4v
cve,CVE-2026-20122,vManage chain CVE patched Feb 2026,high,Cisco PSIRT advisory cisco-sa-sdwan-authbp-qwCX8D4v
cve,CVE-2022-20775,Used by UAT-8616 in downgrade chain to escalate to root after gaining vmanage-admin via 20127/20182,high,Talos UAT-8616 blog
path,/home/vmanage-admin/.ssh/authorized_keys,SSH key injection sink — append-mode primitive,high,Rapid7 technical analysis
path,/etc/ssh/sshd_config,Audit for PermitRootLogin yes (post-downgrade escalation),high,Talos UAT-8616 blog
string,peer-type:vhub,VDAEMON syslog signature of CHALLENGE_ACK with device_type=2 exploit,high,Talos UAT-8616 blog
string,new-state:up,VDAEMON syslog signature of peer transition after exploit,high,Talos UAT-8616 blog
note,Talos clusters 1-10 are oppportunistic post-compromise activity on the Feb-2026 CVE chain — distinct from UAT-8616 targeted activity on 20127/20182,Context for IR triage prioritization,high,Talos sd-wan-ongoing-exploitation post
ipv4,38.181.52.89,Cluster 1 (Tas9er ByPassGodzilla) operator IP,high,Talos clusters report
ipv4,89.125.244.33,Cluster 1 operator IP,high,Talos clusters report
ipv4,89.125.244.51,Cluster 1 operator IP,high,Talos clusters report
ipv4,71.80.85.135,Cluster 2 (Behinder Base64-only) operator IP,high,Talos clusters report
ipv4,212.83.162.37,Cluster 3 (XenShell + Behinder) operator IP,high,Talos clusters report
ipv4,38.60.214.92,Cluster 4 (Godzilla variant) operator IP,high,Talos clusters report
ipv4,65.20.67.134,Cluster 4 operator IP,high,Talos clusters report
ipv4,104.233.156.1,Cluster 4 operator IP,high,Talos clusters report
ipv4,194.233.100.40,Cluster 4 operator IP,high,Talos clusters report
ipv4,194.163.175.135,Cluster 5 AdaptixC2 + Mythic C2 (Contabo VPS) — banner shadowcore,high,Talos clusters report
ipv4,23.27.143.170,Cluster 6 Sliver mTLS C2 IP,high,Talos clusters report
ipv4,83.229.126.195,Cluster 7 XMRig downloader (HK) — also a Cobalt Strike C2 host per VirusTotal,high,Talos clusters report
ipv4,13.62.52.206,Cluster 8 NimPlant-variant 'agent1' C2 IP,high,Talos clusters report
ipv4,79.135.105.208,Cluster 8 attacker IP (likely ProtonVPN) that downloaded the Nim implant,medium,Talos clusters report
ipv4,176.65.139.31,Cluster 8 supporting infrastructure IP,medium,Talos clusters report
ipv4,47.104.248.7,Cluster 9 XMRig miner activity IP,high,Talos clusters report
domain,replit.dev,Cluster 8 dropper host (Replit AI-platform subdomain),medium,Talos clusters report
