type,value,context,confidence,source
note,"Identity/social-engineering case (Okta Threat Intelligence, 2026-07-05; Palo Alto Unit 42 tracks the actor as CL-CRI-1147 / Pink, O-UNC-066). This is a VISHING + operator-controlled PHP phishing-kit campaign, NOT a CVE exploit: there is no vulnerability and no reusable malware binary. The attacker phones a Microsoft 365 user under a passkey-enrollment pretext, relays the victim's credentials and MFA response through a panel in real time, and enrols the ATTACKER'S OWN passkey (FIDO2) into the victim's Entra account for durable, phishing-resistant persistence. The durable detections are behavioral/identity-log: an authentication-method (passkey) registration shortly after an anomalous sign-in, sign-ins from the actor's hosting ASNs, and DNS/proxy hits on per-target subdomains of passkey-themed lookalike domains. Domains and IPs decay - validate freshness before blocking.",,high,Okta Threat Intelligence (2026-07-05)
cve,none,"No CVE. The campaign abuses the legitimate Entra passkey registration ceremony and helpdesk-impersonation social engineering, not a software vulnerability. Microsoft's May-2026 passkey registration campaigns (nudges, on by default in some tenants) are used as the social pretext.",high,Okta Threat Intelligence (2026-07-05)
domain,assignpasskey.com,"O-UNC-066 phishing base domain; per-target subdomains (e.g. <victim>.assignpasskey.com) mimic the org's Entra sign-in; registered 2026-06-14 via Internet Domain Service BS Corp., hosted on DDoS-Guard",high,Okta Threat Intelligence (2026-07-05)
domain,deploypasskey.com,"O-UNC-066 phishing base domain; registered 2026-04-21 via Tucows, hosted on DDoS-Guard",high,Okta Threat Intelligence (2026-07-05)
domain,passkeydeploy.com,"O-UNC-066 phishing base domain; registered 2026-04-23 via Internet Domain Service BS Corp., hosted on DDoS-Guard",high,Okta Threat Intelligence (2026-07-05)
domain,passkeyadd.com,"O-UNC-066 phishing base domain; registered 2026-05-08 via Tucows, hosted on DDoS-Guard",high,Okta Threat Intelligence (2026-07-05)
domain,setpasskey.com,"O-UNC-066 phishing base domain; example campaign subdomain <victim>.setpasskey.com; registered 2026-05-23 via IQWeb FZ-LLC",high,Okta Threat Intelligence (2026-07-05)
string,ASN AS57724,"DDoS-Guard (Russia) - hosting ASN for the majority of the passkey-themed phishing subdomains; block/monitor is a durable pivot while individual domains rotate",medium,Okta Threat Intelligence (2026-07-05)
string,ASN AS59692,"IQWeb FZ-LLC (US) - secondary hosting ASN observed for setpasskey.com",medium,Okta Threat Intelligence (2026-07-05)
url,/gate,"Phishing-kit first stage: page-loading icon shown while the kit runs anti-analysis checks",high,Okta Threat Intelligence (2026-07-05)
url,/identify,"Phishing-kit username-collection page (no redirect to federated IdP such as Okta observed)",high,Okta Threat Intelligence (2026-07-05)
url,/password,"Phishing-kit password-challenge page; captured credentials POSTed with a timestamp and Id to /backend.php",high,Okta Threat Intelligence (2026-07-05)
url,/processing,"Phishing-kit loading page shown while the operator authenticates to the real Microsoft tenant and observes the MFA challenge",high,Okta Threat Intelligence (2026-07-05)
url,/submit-otp,"Phishing-kit SMS OTP capture page; OTP POSTed to /backend.php",high,Okta Threat Intelligence (2026-07-05)
url,/submit-authenticator,"Phishing-kit TOTP capture page; code POSTed to /backend.php",high,Okta Threat Intelligence (2026-07-05)
url,/approve-authenticator,"Phishing-kit push/number-matching page; victim told to enter the operator-supplied number in their authenticator app",high,Okta Threat Intelligence (2026-07-05)
url,/passkey/register,"Phishing-kit fake passkey-registration page (sleight of hand while attacker enrols their own passkey with Microsoft)",high,Okta Threat Intelligence (2026-07-05)
url,/passkey,"Phishing-kit fake 'save your recovery key' page presenting an attacker-controlled BIP-39 seed phrase (no legitimate role in Entra passkey enrolment)",high,Okta Threat Intelligence (2026-07-05)
url,/passkey/check,"Phishing-kit page asking the victim to confirm the final word of the fake BIP-39 seed phrase",high,Okta Threat Intelligence (2026-07-05)
url,/done,"Phishing-kit confirmation page ('all set'); operator pushes it to preserve the pretext after the attacker's passkey is enrolled",high,Okta Threat Intelligence (2026-07-05)
path,/backend.php,"Operator PHP panel endpoint receiving captured credentials/OTP POSTs (timestamp + Id) and driving the 1-second heartbeat that steers victim page state",high,Okta Threat Intelligence (2026-07-05)
string,1-second heartbeat polling,"Kit design tell: victim page polls the operator panel roughly once per second so the caller can switch pages/notifications in near real time - distinguishes this operator-driven kit from a transparent AiTM proxy",medium,Okta Threat Intelligence (2026-07-05)
note,"Detection anchor (Entra): the attacker-registered passkey appears in the tenant as a fido2AuthenticationMethod added to the user object; Entra audit OperationName 'User registered security info' / 'Add passkey (device-bound)' shortly after an anomalous interactive sign-in. Microsoft also emails the real user a legitimate 'new passkey registered' notice - the operator times the /done page and names the passkey benignly to blend in.",high,Okta Threat Intelligence (2026-07-05)
note,"Impact: O-UNC-066 operates the Pink data-leak site (launched 2026-05-31), exfiltrates from SharePoint/OneDrive after account takeover, and applies a 72-hour extortion deadline communicated through the compromised accounts themselves. Attribution: Com-affiliated, techniques overlapping Bling Libra (ShinyHunters) and CL-CRI-1116 (BlackFile/Redact).",high,Palo Alto Networks Unit 42 (2026-06-03)
