type,value,context,confidence,first_seen,last_seen,case_count,cases,sources
asn,AS16276,OVH — frequent VPS source,medium,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Arctic Wolf
asn,AS20473,Choopa/Vultr — frequent VPS source,medium,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Arctic Wolf
asn,AS24940,Hetzner — frequent VPS source for Akira VPN logins,medium,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Arctic Wolf
asn,AS53667,Frantech/BuyVM — frequent VPS source,medium,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Arctic Wolf
asn,AS9009,M247 — frequent VPS source,medium,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Arctic Wolf
av_sig,Win32/KillFiles.NMO,DynoWiper detection name (ESET),high,2026-05-04,2026-05-04,1,2026-05-04_C0063-Poland-Wiper,ESET
c2,MQTT TLS TCP/8883,IOCONTROL C2 transport,high,2026-05-03,2026-05-03,1,2026-05-03_BAUXITE-CyberAvengers-AA26-097A,Claroty Team82
cli_flag,--encryption_path,Akira encryptor scope,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Unit 42
cli_flag,--encryption_percent,Akira partial encryption,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Unit 42
cli_flag,--no-snapshot-deletion,Akira affiliate flag,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Unit 42
cli_flag,--share_file,Akira encryptor share-list intake,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Unit 42
cli_flag,--stopvm,Akira Linux/ESXi pre-shutdown,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Unit 42
cli_flag,--vmonly,Akira Linux/ESXi scope,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Unit 42
cluster,Storm-1575,Dadsec - shares infrastructure with Tycoon2FA,medium,2026-05-06,2026-05-06,1,2026-05-06_CodeOfConduct-AiTM-Storm-1747,Trustwave SpiderLabs
cluster,Storm-1747,Tycoon2FA developer / PhaaS operator,medium,2026-05-06,2026-05-06,1,2026-05-06_CodeOfConduct-AiTM-Storm-1747,Microsoft Threat Intelligence
cmd,bcdedit /set {default} recoveryenabled no,Disable Windows recovery,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,CISA AA24-109A
cmd,vssadmin delete shadows /all /quiet,Pre-encryption shadow delete,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,CISA AA24-109A
cmd,wbadmin delete catalog -quiet,Backup catalog delete,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,CISA AA24-109A
cve,CVE-2017-17215,Huawei HG532 SOAP UPnP — LAN propagation,high,2026-05-02,2026-05-02,1,2026-05-02_Nexcorium-TBK-DVR-CVE-2024-3721,FortiGuard
cve,CVE-2020-10713,BootHole - GRUB2 buffer overflow affecting virtually all Secure Boot Linux and Windows trusting third-party UEFI components,high,2026-06-07,2026-06-07,1,2026-06-07_SecureBoot-2011-Cert-Expiry-Bootkit-Exposure,Eclypsium/NSA
cve,CVE-2020-17103,Windows Cloud Files Mini Filter Driver elevation of privilege (HsmOsBlockPlaceholderAccess race); originally reported by James Forshaw / Google Project Zero in Sep 2020 and supposedly patched Dec 2020; MiniPlasma demonstrates silent regression on May 2026 fully patched builds,high,2026-05-29,2026-05-29,1,2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,https://www.bleepingcomputer.com/news/microsoft/new-windows-miniplasma-zero-day-exploit-gives-system-access-poc-released/
cve,CVE-2022-20775,Used by UAT-8616 in downgrade chain to escalate to root after gaining vmanage-admin via 20127/20182,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Talos UAT-8616 blog
cve,CVE-2023-24932,BlackLotus Secure Boot bypass in Windows Boot Manager - patched May 2023 but requires manual DBX revocation,high,2026-06-07,2026-06-07,1,2026-06-07_SecureBoot-2011-Cert-Expiry-Bootkit-Exposure,Microsoft/NVD
cve,CVE-2024-12802,SonicOS SSL-VPN MFA bypass via UPN/SAM dual-format mismatch; CVSS 6.5 vendor / 9.1 CISA ADP; SNWLID-2025-0001,high,2026-05-23,2026-05-23,1,2026-05-23_SonicWall-Gen6-MFA-Bypass-CVE-2024-12802,SonicWall PSIRT
